Series,Status,Apps.,Part Number,Previous Part Number,Capacitance,Size(LxW),T(max),Rated Volt.[Vdc],Temperature Characteristic,Cap. Tole.,tanδ(max) [%],Q(min),Temp.[℃],Case Size(EIA/JIS),Dimension L,Dimension W,Dimension T,Standard Quantity,RoHS,Q200
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG5R6DFNA18,UMK063CG5R6DT8F,5.6 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,512,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG5R7DFNA18,UMK063CG5R7DT8F,5.7 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,514,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG5R8DFNA18,UMK063CG5R8DT8F,5.8 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,516,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG5R9DFNA18,UMK063CG5R9DT8F,5.9 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,518,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG060DFNA18,UMK063CG060DT8F,6 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,520,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG6R1DFNA18,UMK063CG6R1DT8F,6.1 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,522,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG6R2DFNA18,UMK063CG6R2DT8F,6.2 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,524,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG6R3DFNA18,UMK063CG6R3DT8F,6.3 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,526,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG6R4DFNA18,UMK063CG6R4DT8F,6.4 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,528,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG6R5DFNA18,UMK063CG6R5DT8F,6.5 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,530,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG6R6DFNA18,UMK063CG6R6DT8F,6.6 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,532,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG6R7DFNA18,UMK063CG6R7DT8F,6.7 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,534,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG6R8DFNA18,UMK063CG6R8DT8F,6.8 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,536,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG6R9DFNA18,UMK063CG6R9DT8F,6.9 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,538,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG070DFNA18,UMK063CG070DT8F,7 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,540,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG7R1DFNA18,UMK063CG7R1DT8F,7.1 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,542,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG7R2DFNA18,UMK063CG7R2DT8F,7.2 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,544,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG7R3DFNA18,UMK063CG7R3DT8F,7.3 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,546,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG7R4DFNA18,UMK063CG7R4DT8F,7.4 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,548,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG7R5DFNA18,UMK063CG7R5DT8F,7.5 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,550,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG7R6DFNA18,UMK063CG7R6DT8F,7.6 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,552,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG7R7DFNA18,UMK063CG7R7DT8F,7.7 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,554,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG7R8DFNA18,UMK063CG7R8DT8F,7.8 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,556,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG7R9DFNA18,UMK063CG7R9DT8F,7.9 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,558,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG080DFNA18,UMK063CG080DT8F,8 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,560,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG8R1DFNA18,UMK063CG8R1DT8F,8.1 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,562,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG8R2DFNA18,UMK063CG8R2DT8F,8.2 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,564,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG8R3DFNA18,UMK063CG8R3DT8F,8.3 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,566,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG8R4DFNA18,UMK063CG8R4DT8F,8.4 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,568,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG8R5DFNA18,UMK063CG8R5DT8F,8.5 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,570,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG8R6DFNA18,UMK063CG8R6DT8F,8.6 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,572,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG8R7DFNA18,UMK063CG8R7DT8F,8.7 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,574,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG8R8DFNA18,UMK063CG8R8DT8F,8.8 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,576,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG8R9DFNA18,UMK063CG8R9DT8F,8.9 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,578,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG090DFNA18,UMK063CG090DT8F,9 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,580,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG9R1DFNA18,UMK063CG9R1DT8F,9.1 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,582,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG9R2DFNA18,UMK063CG9R2DT8F,9.2 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,584,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG9R3DFNA18,UMK063CG9R3DT8F,9.3 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,586,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG9R4DFNA18,UMK063CG9R4DT8F,9.4 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,588,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG9R5DFNA18,UMK063CG9R5DT8F,9.5 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,590,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG9R6DFNA18,UMK063CG9R6DT8F,9.6 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,592,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG9R7DFNA18,UMK063CG9R7DT8F,9.7 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,594,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG9R8DFNA18,UMK063CG9R8DT8F,9.8 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,596,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG9R9DFNA18,UMK063CG9R9DT8F,9.9 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,598,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG100DFNA18,UMK063CG100DT8F,10 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,600,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG110JFNA18,UMK063CG110JT8F,11 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,620,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG120JFNA18,UMK063CG120JT8F,12 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,640,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG130JFNA18,UMK063CG130JT8F,13 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,660,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG150JFNA18,UMK063CG150JT8F,15 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,700,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG160JFNA18,UMK063CG160JT8F,16 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,720,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG180JFNA18,UMK063CG180JT8F,18 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,760,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG200JFNA18,UMK063CG200JT8F,20 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,800,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG220JFNA18,UMK063CG220JT8F,22 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,840,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG240JFNA18,UMK063CG240JT8F,24 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,880,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG270JFNA18,UMK063CG270JT8F,27 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,940,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG300JFNA18,UMK063CG300JT8F,30 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG330JFNA18,UMK063CG330JT8F,33 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG360JFNA18,UMK063CG360JT8F,36 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG390JFNA18,UMK063CG390JT8F,39 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG430JFNA18,UMK063CG430JT8F,43 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG470JFNA18,UMK063CG470JT8F,47 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG510JFNA18,UMK063CG510JT8F,51 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG560JFNA18,UMK063CG560JT8F,56 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG620JFNA18,UMK063CG620JT8F,62 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG680JFNA18,UMK063CG680JT8F,68 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Medical Devices classified as GHTF Class C (Japan Class III),Mass Production,(M)Medical (International Class. Ⅲ）,MMASU063SCG750JFNA18,UMK063CG750JT8F,75 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
